Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,
discovery-kit-6-pack,"Classic Discovery Kit  - 2 Cereals, 2 Treats, 2 Granola","<p data-end=""724"" data-start=""0"">Meet the <strong data-is-only-node="""" data-end=""86"" data-start=""57"">Magic Spoon Discovery Kit</strong> — your all-access pass to our best-selling cereal. protein-packed treats. and crunchy granola. This curated bundle features two of each product so you can explore the full lineup: nostalgic <strong>Fruity cereal</strong> and indulgent <strong>Cocoa</strong>; snackable <strong>Marshmallow</strong> and <strong>Chocolate PB treats</strong>; and satisfying <strong>Peanut Butter </strong>and crisp <strong>Honey Almond granola</strong>. </p>","Magic Spoon","Multi Product Bundle","6026-PEATRT04-1x, 6027-MARTRT04-1x, 6142-PEAGR01-1x, 6143-HNALGR01-1x, 741-COC01-1x, 744-FRU01-1x, no index, noindex",TRUE,Title,"Default Title",,,,,400446,2448,shopify,1000,continue,manual,"54.00","59.00",TRUE,TRUE,,"https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_VARIETY_DISCOVERY_HERO2_1.png?v=1749586717",1,,FALSE,"Classic Discovery Kit  - 2 Cereals, 2 Treats, 2 Granola","Classic Discovery Kit  - 2 Cereals, 2 Treats, 2 Granola",,,,,,,,,,,,,,,Kg,,,
discovery-kit-6-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_VARIETY_DISCOVERY_RTB_fa50c683-0ad5-4ff2-b110-f23659e023a0.png?v=1753371990,1,,,,,,,,,,,,,,,,,,,,,,
discovery-kit-6-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_VARIETY_DISCOVERY_BOWL.png?v=1753371990,2,,,,,,,,,,,,,,,,,,,,,,
discovery-kit-6-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_Mix_DiscoveryKit_Layout_1x1_ef57e7ec-1d92-4685-b8bb-5723796f5fd8.png?v=1753371990,3,,,,,,,,,,,,,,,,,,,,,,
discovery-kit-6-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_Mix_DiscoveryKit_CloseUp_1x1_758fc83b-27b3-4687-8fa8-0a3018468f7f.png?v=1753371990,4,,,,,,,,,,,,,,,,,,,,,,
discovery-kit-6-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_VARIETY_DISCOVERY_NFP.jpg?v=1753371990,5,,,,,,,,,,,,,,,,,,,,,,
discovery-kit-6-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_VARIETY_DISCOVERY_NFP_0f7bdd5d-cc49-422a-a3be-268f5f773e5e.jpg?v=1749586717,6,,,,,,,,,,,,,,,,,,,,,,
discovery-kit-6-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_VARIETY_DISCOVERY_US_THEM.png?v=1749586717,7,,,,,,,,,,,,,,,,,,,,,,
strawberry-milkshake-birthday-cake-16-cereal-treats-4-boxes,"The Party Pack - 16 Cereal Treats (4 Boxes)","<p dir=""ltr""><span>Mix up your routine with two new Treats—</span><strong>Birthday Cake</strong><span> and </span><span><strong>Strawberry Milkshake</strong></span><span><strong>!</strong> One brings the party (and plenty of sprinkles). the other is a creamy berry dream studded with real strawberries. and both pack </span><strong>12g protein</strong><span> and just </span><strong>1g sugar</strong><span> into every Treat. Includes 2 boxes of each so you can snack on.</span></p>","Magic Spoon",Treats,"6093-BDAYTRT04-2x, 6095-STRMTRT04-2x, Treats",TRUE,Title,"Default Title",,,,,400189,816,shopify,1000,continue,manual,"39.00","39.00",TRUE,TRUE,,"https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_T_STRAW_BDAY_HERO.png?v=1748899109",1,,FALSE,"The Party Pack - 16 Cereal Treats (4 Boxes)","The Party Pack - 16 Cereal Treats (4 Boxes)",,,,,,,,,,,,,,,Kg,,,
strawberry-milkshake-birthday-cake-16-cereal-treats-4-boxes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0081/3826/0542/files/MS_T_STRAW_BDAY_PRODUCT_DETAIL.jpg?v=1748899109,1,,,,,,,,,,,,,,,,,,,,,,
